"","Line","habitat","watering","fertilization","WFtreatment","Plot","origin","SCT_CWM","Mass_CWM","SCP_CWM","Carbon_CWM","CN_CWM","Length_CWM","Starch_CWM","Shape_CWM","Disp_CWM","Texture_CWM","Compact_CWM","PC1_CWM","PC2_CWM","PC3_CWM","PC4_CWM","PC5_CWM","PC6_CWM","PC7_CWM","PC8_CWM","PC9_CWM","PC10_CWM","PC11_CWM","WFtreatment_order"
"152","4","Harsh","watered","fertilized","WN","58","Non-Native",0.145740045125406,0.15743012257482,-0.211371346513718,0.119135433471704,6.25141809518456,0.719686368384336,0.294871794871795,-0.530258087387482,0.294871794871795,0.438933607954098,0.736452040484531,-1.08919017349693,-0.301878185093792,0.436801617461797,-0.0975606180267222,-0.231294690288187,-0.0219437864060123,-0.485197738805586,-0.0991332960474949,0.271078859570409,-0.20136822048622,-0.10199260064164,"WN"
"153","4","Harsh","watered","fertilized","WN","58",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WN"
"154","4","Harsh","watered","fertilized","WN","65","Native",0.876452686585952,-0.724274424661969,0.0109899171689174,0.335332381357685,13.1605270339667,0.821091714045607,0.0285714285714286,-1.63182541502439,0.714285714285714,-1.17783404490368,1.99738617883819,-0.0414584396867418,-0.452528649694738,0.333711471417858,0.222972607922027,0.370628992922826,-0.267934054528789,0.293303483605452,0.397787026045041,-0.463643190404955,-0.435135587039576,-0.390424347697435,"WN"
"155","4","Harsh","watered","fertilized","WN","65","Non-Native",0.130244525219674,0.110184392915167,-0.162371474698846,0.108456240100321,5.28055732492958,0.595828582795374,0.228571428571429,-0.470736674880867,0.285714285714286,0.283709899924219,0.645437587728293,-0.841944751305408,-0.284981973579565,0.338381048454662,-0.0796796023824361,-0.137175782975261,-0.0421305663757961,-0.364509235778194,-0.0249868976700989,0.23705152644898,-0.148395159113216,-0.0814651988022802,"WN"
"156","4","Harsh","watered","fertilized","WN","65",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WN"
"157","4","Harsh","watered","none","W","63","Native",0.946323566461511,-0.0291328697966121,0.13764668775081,0.349366022589806,15.3534890811786,0.994818653091394,0.0793650793650794,-2.01803347951931,1.17460317460317,-0.700041346575341,2.1241248965476,-0.813904999525182,-0.359651924637946,0.449525940901222,0.4886062005429,0.649132458557922,-0.0439755276262027,0.273871835420936,0.0548174686424707,-0.0563295492472164,-0.188136425422491,-0.168270606410548,"W"
"158","4","Harsh","watered","none","W","63","Non-Native",0.106486518639504,0.107892263411295,-0.140863579634808,0.0770095734474443,4.13386956293566,0.454337436273767,0.19047619047619,-0.346514818268188,0.206349206349206,0.284570699999155,0.47764556536921,-0.707087255988331,-0.178131260411604,0.287249493599265,-0.0471208645826221,-0.142683761679852,0.00170523919771187,-0.306230854056744,-0.0477891946124752,0.162341084476884,-0.112797884248338,-0.0570380142246279,"W"
"159","4","Harsh","watered","none","W","63",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W"
"160","4","Harsh","watered","none","W","67","Native",0.964074077169588,-0.224613601544536,0.157086165664837,0.333757883125488,13.8640083678045,0.773893943689779,0,-1.90483479163808,0.90625,-0.863633646059379,2.00590394935302,-0.273832758881446,-0.230674545961396,0.285151444954357,0.558868329722938,0.536954054931727,-0.0929084069599967,0.273040041043702,0.191773556521134,-0.249566061034453,-0.230629994334949,-0.192151316880464,"W"
"161","4","Harsh","watered","none","W","67","Non-Native",0.135378121251455,0.128568529881695,-0.169580390856717,0.101377100643384,5.17073465307479,0.606878254142089,0.25,-0.446323259298837,0.25,0.351251877028519,0.627394274717293,-0.902924248531747,-0.246201842792281,0.3535790852269,-0.0848416116924635,-0.19217152352417,-0.0425115380445636,-0.406680473499785,-0.0783980174008891,0.206809486249,-0.156496431966322,-0.0888344306038886,"W"
"162","4","Harsh","watered","none","W","67",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W"
"163","4","Harsh","watered","none","W","69","Native",0.759164792891104,0.101763875314257,0.291293652639753,0.185425599950669,7.07196572760063,0.412377379640095,0,-1.11749861325368,0.333333333333333,-0.665718361141354,1.11852236725242,-0.0252902961802,0.108677581493025,-0.179511780135133,0.374851195761344,0.106492201154981,-0.182382391422325,0.33690185682057,-0.0195421249771964,-0.252326714825659,-0.0663802191271919,-0.0591869073300425,"W"
"164","4","Harsh","watered","none","W","69","Non-Native",0.363620232864752,0.339618921669807,-0.432300667508988,0.236286466426733,12.7542845796899,1.36539841261974,0.583333333333333,-1.06704205927852,0.666666666666667,0.855197248453701,1.46967693022057,-2.15489538339027,-0.499965798606401,0.875948857097271,-0.111417965949724,-0.418770385216304,0.0187093425169574,-0.917943970607835,-0.105791590191157,0.448783818877977,-0.294999020775916,-0.157429544936978,"W"
"165","4","Harsh","watered","none","W","69",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W"
