"IDnum","clean_code","H","L","LH_L","W","area_LW","Perimeter1","Hue","PCof19WL","texture","Rectangularity1","LH_Circle","LW_Circle","Compactness Ellipse","BetaShape_a","BetaShape_b","Saturation","LH_area","Org.Filename","Org.Filename2","shape"
9,"BROMAD",0.930606,10.01509,9.483318,0.930606,5.901163,20.14097,1.100928,27.13633,1.590243,0.6677778,0.03830403,0.0709008,0.9452658,1.521192,1.253629,19.67315,3.0851,"BROMAD_LW_Amy1","BROMAD_LH_Amy",0.192811177830355
9,"BROMAD",0.6647186,9.88215,9.749206,0.8419768,5.930619,19.9194,1.068876,20.61538,1.310968,0.7557558,0.04334797,0.07571437,0.9782501,1.602841,1.568311,23.10727,3.261841,"BROMAD_LW_Amy1","BROMAD_LH_Amy",0.192811177830355
9,"BROMAD",0.620404,9.749206,9.970778,0.930606,6.015062,19.63136,0.9381427,22.11954,1.995108,0.6993151,0.03567937,0.08205987,0.944512,1.779626,1.471111,14.1373,3.452327,"BROMAD_LW_Amy1","BROMAD_LH_Amy",0.192811177830355
9,"BROMAD",0.7533477,9.970778,9.926464,0.8419768,6.109323,19.98587,1.031394,24.59684,1.948434,0.7715774,0.04174606,0.07498401,0.9742918,1.542691,1.330706,16.97407,3.530879,"BROMAD_LW_Amy1","BROMAD_LH_Amy",0.192811177830355
9,"BROMAD",0.6647186,9.837834,10.50255,0.930606,6.22715,19.83077,1.134796,27.43148,1.750662,0.7174208,0.03105137,0.08301254,0.9611959,1.783968,1.537389,18.85607,3.562299,"BROMAD_LW_Amy1","BROMAD_LH_Amy",0.192811177830355
9,"BROMAD",0.6647186,10.36961,9.837834,0.8862914,6.566884,20.87216,1.144556,26.08529,1.524914,0.7553648,0.03881759,0.07762851,0.9911633,1.607545,1.507196,18.95793,3.636923,"BROMAD_LW_Amy1","BROMAD_LH_Amy",0.192811177830355
9,"BROMAD",0.8419768,9.79352,9.79352,0.930606,6.881089,19.96371,1.069897,25.85246,1.505802,0.7963637,0.06249395,0.08793378,0.9889448,1.568373,1.386339,18.20335,4.795554,"BROMAD_LW_Amy1","BROMAD_LH_Amy",0.192811177830355
9,"BROMAD",0.8419768,10.10372,9.749206,0.930606,6.941967,20.56196,1.001298,25.26398,2.008478,0.7786344,0.06071921,0.08250909,0.9891138,1.596345,1.410597,15.17824,4.848576,"BROMAD_LW_Amy1","BROMAD_LH_Amy",0.192811177830355
9,"BROMAD",0.7976623,9.571947,10.05941,1.107864,7.114779,19.36547,0.9174444,22.44214,1.966625,0.7021318,0.05436641,0.1014015,0.96209,1.650982,1.440614,19.52393,4.988004,"BROMAD_LW_Amy1","BROMAD_LH_Amy",0.192811177830355
11,"CALPAU",0.9749206,2.969076,2.836133,1.240808,2.627539,6.425613,1.169017,6.779243,0.138239,0.7508417,0.2932321,0.4053671,0.969715,1.659911,1.249021,3.598389,1.912723,"CALPAU_LW_Amy1","CALPAU_LH_Amy1",0.0798481645828806
