"species_code","seed_mass","species","nseedssp","nfam","spdrymf","sd_spdrymf"
"Clagra",0.000448571428571429,"Clarkia gracilis",610,13,0.000704224634840137,0.00108610842849918
"Cryhis",0.000324583333333333,"Cryptantha hispidula",99,5,0.000335430952380952,2.01631374462906e-05
"Cryhis",0.00034525,"Cryptantha hispidula",99,5,0.000335430952380952,2.01631374462906e-05
"Cryhis",0.00031,"Cryptantha hispidula",99,5,0.000335430952380952,2.01631374462906e-05
"Cryhis",0.000363071428571429,"Cryptantha hispidula",99,5,0.000335430952380952,2.01631374462906e-05
"Cryhis",0.00033425,"Cryptantha hispidula",99,5,0.000335430952380952,2.01631374462906e-05
"Petpro",0.000176166666666667,"Petrohagia prolifera",79,5,0.000214533450635386,2.71258465801863e-05
"Petpro",0.000199709677419355,"Petrohagia prolifera",79,5,0.000214533450635386,2.71258465801863e-05
"Petpro",0.0002314,"Petrohagia prolifera",79,5,0.000214533450635386,2.71258465801863e-05
"Petpro",0.0002203,"Petrohagia prolifera",79,5,0.000214533450635386,2.71258465801863e-05
"Petpro",0.000245090909090909,"Petrohagia prolifera",79,5,0.000214533450635386,2.71258465801863e-05
"Naspul",0.00637777777777778,"Nassella pulchra",53,5,0.00566737484737485,0.00130780284766551
"Naspul",0.00459285714285714,"Nassella pulchra",53,5,0.00566737484737485,0.00130780284766551
"Naspul",0.00393846153846154,"Nassella pulchra",53,5,0.00566737484737485,0.00130780284766551
"Naspul",0.00675,"Nassella pulchra",53,5,0.00566737484737485,0.00130780284766551
"Naspul",0.00667777777777778,"Nassella pulchra",53,5,0.00566737484737485,0.00130780284766551
"Phlgra",0.00198333333333333,"Phlox gracilis",40,5,0.001992,0.000210720984558571
"Phlgra",0.0022,"Phlox gracilis",40,5,0.001992,0.000210720984558571
"Phlgra",0.00169333333333333,"Phlox gracilis",40,5,0.001992,0.000210720984558571
"Phlgra",0.00218333333333333,"Phlox gracilis",40,5,0.001992,0.000210720984558571
"Phlgra",0.0019,"Phlox gracilis",40,5,0.001992,0.000210720984558571
"Clapur",0.000326923076923077,"Clarkia purpurea",458,8,0.000388076209601703,4.44931021327068e-05
"Clapur",0.000335064935064935,"Clarkia purpurea",458,8,0.000388076209601703,4.44931021327068e-05
"Clapur",0.000384375,"Clarkia purpurea",458,8,0.000388076209601703,4.44931021327068e-05
"Clapur",0.000440540540540541,"Clarkia purpurea",458,8,0.000388076209601703,4.44931021327068e-05
"Clapur",0.000402564102564103,"Clarkia purpurea",458,8,0.000388076209601703,4.44931021327068e-05
"Diccap",0.00159545454545455,"Dichelostemma capitatum",100,5,0.0014470243902439,0.000392743563285173
"Diccap",0.00204,"Dichelostemma capitatum",100,5,0.0014470243902439,0.000392743563285173
"Diccap",0.00110454545454545,"Dichelostemma capitatum",100,5,0.0014470243902439,0.000392743563285173
"Diccap",0.0014,"Dichelostemma capitatum",100,5,0.0014470243902439,0.000392743563285173
"Diccap",0.00109512195121951,"Dichelostemma capitatum",100,5,0.0014470243902439,0.000392743563285173
"Erinud",0.000785714285714286,"Erigonum nudum",90,5,0.00106600250626566,0.000199442707350046
"Erinud",0.0013,"Erigonum nudum",90,5,0.00106600250626566,0.000199442707350046
"Erinud",0.001205,"Erigonum nudum",90,5,0.00106600250626566,0.000199442707350046
"Erinud",0.00105263157894737,"Erigonum nudum",90,5,0.00106600250626566,0.000199442707350046
"Erinud",0.000986666666666667,"Erigonum nudum",90,5,0.00106600250626566,0.000199442707350046
"Agohet",0.000502666666666667,"Agoseris heterophylla",215,3,0.000444063492063492,5.13934036136567e-05
"Agohet",0.000422857142857143,"Agoseris heterophylla",215,3,0.000444063492063492,5.13934036136567e-05
"Agohet",0.000406666666666667,"Agoseris heterophylla",215,3,0.000444063492063492,5.13934036136567e-05
"Censol",0.001355,"Centaurea Solstistalis",172,11,0.00110356836765928,0.000543070488559351
"Censol",0.00126,"Centaurea Solstistalis",172,11,0.00110356836765928,0.000543070488559351
"Censol",0.00158148148148148,"Centaurea Solstistalis",172,11,0.00110356836765928,0.000543070488559351
"Censol",0.00141666666666667,"Centaurea Solstistalis",172,11,0.00110356836765928,0.000543070488559351
"Censol",0.000831818181818182,"Centaurea Solstistalis",172,11,0.00110356836765928,0.000543070488559351
"Censol",0.00025,"Centaurea Solstistalis",172,11,0.00110356836765928,0.000543070488559351
"Censol",0.0017,"Centaurea Solstistalis",172,11,0.00110356836765928,0.000543070488559351
"Censol",0.00028,"Centaurea Solstistalis",172,11,0.00110356836765928,0.000543070488559351
"Censol",0.0018,"Centaurea Solstistalis",172,11,0.00110356836765928,0.000543070488559351
"Censol",0.00065,"Centaurea Solstistalis",172,11,0.00110356836765928,0.000543070488559351
"Censol",0.00101428571428571,"Centaurea Solstistalis",172,11,0.00110356836765928,0.000543070488559351
